producto_id,nombre_producto,categoria,subcategoria,precio_venta,costo,stock_disponible,proveedor_id,nombre_proveedor,fecha_creacion,activo,data_owner,clasificacion_dato
PROD-0066,Outdoor Delectus 813,Deportes,Outdoor,85285.86,52309.04,209.0,PROV-009,Rodríguez-Pineda,2023-05-19,True,catalogo@retailtech.co,interno
PROD-0067,Niños Quo 602,Ropa,Niños,249950.21,197663.15,430.0,PROV-003,Mena-Mercado,2023-01-14,True,catalogo@retailtech.co,interno
PROD-0068,Fitness Officia 199,Deportes,Fitness,500101.76,242694.06,102.0,PROV-001,"Cardona, Beltrán and Vega",2023-02-22,True,catalogo@retailtech.co,interno
PROD-0069,Hombre Illum 600,Ropa,Hombre,518625.17,384120.81,241.0,PROV-015,Rangel LLC,2023-06-19,True,catalogo@retailtech.co,interno
PROD-0070,Importados Hic 145,Alimentos,Importados,366909.96,156056.16,228.0,PROV-005,Aguirre-Pardo,2023-04-23,True,catalogo@retailtech.co,interno
PROD-0071,Decoración Modi 187,Hogar,Decoración,636447.85,455754.8,49.0,PROV-011,"Valencia, Luna and González",2023-03-30,True,catalogo@retailtech.co,interno
PROD-0072,Outdoor Vero 648,Deportes,Outdoor,1025779.5,447345.51,214.0,PROV-011,Castro-Marín,2023-05-02,True,catalogo@retailtech.co,interno
PROD-0073,Limpieza Omnis 614,Hogar,Limpieza,421618.06,246093.17,17.0,PROV-010,Quintero-Narváez,2023-05-13,True,catalogo@retailtech.co,interno
PROD-0074,Bebidas Impedit 316,Alimentos,Bebidas,229405.81,105022.68,85.0,PROV-013,Peña Group,2023-02-19,True,catalogo@retailtech.co,interno
PROD-0075,Fitness Aliquam 251,Deportes,Fitness,1396457.74,790741.15,321.0,PROV-014,Miranda-Pedraza,2023-06-02,True,catalogo@retailtech.co,interno
PROD-0076,Smartphones Aliquam 632,Electrónica,Smartphones,543460.5,316598.33,141.0,PROV-008,"Díaz, Silva and Bedoya",2023-01-04,True,catalogo@retailtech.co,interno
PROD-0077,Importados Fugit 876,Alimentos,Importados,137905.41,98889.89,298.0,PROV-002,Amaya Inc,2023-01-28,True,catalogo@retailtech.co,interno
PROD-0078,Tabletas Nisi 492,Electrónica,Tabletas,1629918.73,695305.46,135.0,PROV-011,Castañeda Inc,2023-05-05,True,catalogo@retailtech.co,interno
PROD-0079,Fitness Labore 810,Deportes,Fitness,251749.6,146037.79,348.0,PROV-007,Ortiz and Sons,2023-01-10,True,catalogo@retailtech.co,interno
PROD-0080,Mujer Fuga 120,Ropa,Mujer,88962.1,48939.87,190.0,PROV-006,Pérez PLC,2023-03-19,True,catalogo@retailtech.co,interno
